Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
TAN US Equity,5.01,AH+,long,1,5.01,2000,399.2,400,121.63,116.62,113.86,1/7/2021,01/11/2021,-1.55,-3109,USD,,1/8/2021,123.6552,123.6552,123.48,119.13,1/11/2021,117.09,117.09,115.28,115.61,1/12/2021,117.72,117.72,117.22,115.63,1/13/2021,116.26,116.26,116.16,114.46
ARKK US Equity,4.83,reduce,long,2,9.66,2000,207.04,207,131.16,121.5,140.18,1/7/2021,01/11/2021,0.93,1867.14,USD,,1/8/2021,145.64,145.64,142.03,142.48,1/11/2021,140.63,140.63,140.25,138.22,1/12/2021,141.66,141.66,140.18,140.99,1/13/2021,143.5,143.5,141.93,141.72
GBTC US Equity,0.86,HEDGE,long,1.5,1.29,2000,1552.19,1576,14.74,13.45,37.46,11/5/2020,01/11/2021,17.9,35806.72,USD,,11/6/2020,17.71,17.71,17.66,17.54,11/9/2020,17.4,17.4,17.35,17.09,11/10/2020,17,17,16.94,16.51,11/11/2020,18,18,16.75,17.525
NIO US Equity,2.93,AH+,long,2.5,7.33,2000,273.04,273,51.29,43.97,61.5,1/4/2021,01/11/2021,1.39,2787.33,USD,,1/5/2021,53.75,53.75,51.97,53.2,1/6/2021,55.2764,55.2764,54.02,50.5,1/7/2021,54.61,54.61,53.05,54.28,1/8/2021,59.31,59.31,57.76,58.92
QBTC CN Equity,2.52,reduced,long,1,2.52,9000,3571.43,2598,26.5,23.98,54.62,11/17/2020,01/11/2021,8.12,73042.77,CAD,,11/18/2020,28.66,28.66,28.65,27.28,11/19/2020,28.05,28.05,27,27.75,11/20/2020,29.6,29.6,28.19,29.49,11/23/2020,31,31,30.09,30.81
BILI US Equity,6.75,AH+,long,2,13.49,2500,185.32,186,99.2,85.71,119.31,1/5/2021,01/11/2021,1.5,3740.46,USD,,1/6/2021,108.05,108.05,100.34,105.6,1/7/2021,112.55,112.55,105.6,111.4,1/8/2021,120.8,120.8,114.74,118.47,1/11/2021,116.83,116.83,114.39,112.47
JD US Equity,3.37,AH+,long,2,6.75,1500,222.33,222,86.28,79.53,90.44,12/1/2020,01/11/2021,0.62,923.52,USD,,12/2/2020,84.9,84.9,84.49,84.38,12/3/2020,87.0699,87.0699,85.16,86.29,12/4/2020,87.46,87.46,87.12,85.19,12/7/2020,85.45,85.45,85.11,83.49
PEN US Equity,12.3,x2,short,3,36.9,3000,81.3,162,192.53,229.43,219,12/2/2020,01/11/2021,-1.43,-4288.14,USD,,12/3/2020,208.86,208.86,202.51,206.25,12/4/2020,210.11,210.11,205.04,209.89,12/7/2020,230.99,230.99,216,224.02,12/8/2020,206.98,206.98,199.16,204.07
ZOM US Equity,0.17,TA,short,3,0.51,2000,3921.57,4000,1.24,1.75,0.98,1/12/2021,01/11/2021,0.53,1056,USD,,1/13/2021,1.2,1.2,1.14,0.976,1/14/2021,1.08,1.08,0.91,1.01,1/15/2021,1.07,1.07,1.04,0.9751,1/19/2021,1.2,1.2,1.2,1.08
CLBS US Equity,0.4,TA,short,2,0.8,2000,2500,2500,3.41,4.21,3.61,01/20/2021,01/20/2021,-0.25,-506,USD,,1/21/2021,2.78,2.78,2.75,2.5,1/22/2021,2.65,2.65,2.34,2.39,1/25/2021,2.41,2.41,2.35,2.29,1/26/2021,2.35,2.35,2.3,2.23
